name,start,end,description,image
Ada Lovelace,1815-12-10,1852-11-27,English mathematician; wrote notes on Babbage's Analytical Engine and is often credited with the first algorithm intended to be carried out by a machine.,https://upload.wikimedia.org/wikipedia/commons/a/a4/Ada_Lovelace_portrait.jpg
Alan Turings,1912-06-23,1954-06-07,British mathematician and logician; founding figure in theoretical computer science and artificial intelligence; led cryptanalysis work at Bletchley Park during WWII.,https://commons.wikimedia.org/wiki/File:Alan_Turing_Aged_16.jpg
Grace Hopper,1906-12-09,1992-01-01,"American computer scientist and U.S. Navy rear admiral; pioneer of programming languages and compiler development, and influential in the creation and adoption of COBOL.",https://commons.wikimedia.org/wiki/File:Grace_Hopper.jpg
Donald Knuth,1938-01-10,,American computer scientist and professor emeritus at Stanford; author of 'The Art of Computer Programming' and a pioneer in algorithms and analysis of algorithms.,https://commons.wikimedia.org/wiki/File:Donald_Ervin_Knuth_(cropped).jpg
Margaret Hamilton,1936-08-17,,American software engineer who led the team that developed on-board flight software for NASA's Apollo missions; promoted the term 'software engineering'.,https://commons.wikimedia.org/wiki/File:Margaret_Hamilton_-_restoration.jpg
Ken Thompson,1943-02-04,,American computer scientist; co-creator of the Unix operating system and early programming languages and tools at Bell Labs.,https://commons.wikimedia.org/wiki/File:Ken_Thompson.jpg
Dennis Ritchie,1941-09-09,2011-10-12,American computer scientist; creator of the C programming language and co-developer of the Unix operating system.,https://commons.wikimedia.org/wiki/File:Dennis_Ritchie_(right)_Receiving_Japan_Prize.jpeg
Edsger W. Dijkstra,1930-05-11,2002-08-06,"Dutch computer scientist; made fundamental contributions to algorithms, structured programming, and programming language design (Dijkstra's algorithm).",https://commons.wikimedia.org/wiki/File:Edsger_Wybe_Dijkstra.jpg
Fred Brooks,1931-04-19,2022-11-17,American computer architect and software engineer; managed development of IBM System/360 and wrote 'The Mythical Man-Month' on software project management.,https://commons.wikimedia.org/wiki/File:Fred_Brooks_(cropped).jpg
Barbara Liskov,1939-11-07,,"American computer scientist; Turing Award laureate known for work on programming languages, data abstraction, and distributed systems (Liskov substitution principle).",https://commons.wikimedia.org/wiki/File:Barbara_Liskov_MIT_computer_scientist_2010.jpg
Linus Torvalds,1950-11-07,,Software engineer who created the Linux operating system. He's really cool and I really like him,https://media.wired.com/photos/5932e10252d99d6b984e0a19/3:2/w_2560%2Cc_limit/Screen-shot-2012-06-18-at-10.32.45-AM.png
